Unique ID,Title,Category,Proposed URL,Source,Owner,Status
1,Arctic environment,Ecosystem,http://arcticdiscovery.com/ecosystem/,http://polardiscovery.whoi.edu/arctic/ecosystem.html,Svetlana,Needs editing
2,Arctic Mammals,Arctic Mammals,http://arcticdiscovery.com/arctic-mammals/,http://en.wikipedia.org/wiki/Marine_mammal,Svetlana,Needs editing
3,Seals,Maritime Animals,http://arcticdiscovery.com/arctic-mammals/marine-mammals/seals/,http://en.wikipedia.org/wiki/Harp_seal,Svetlana,Needs editing
4,Whales,Maritime Animals,http://arcticdiscovery.com/arctic-mammals/marine-mammals/walruses/,http://icestories.exploratorium.edu/dispatches/big-ideas/arctic-whales/,Svetlana,Needs editing
5,Walruses,Maritime Animals,http://arcticdiscovery.com/arctic-mammals/marine-mammals/seals/,http://animals.nationalgeographic.com/animals/mammals/walrus/,Svetlana,Needs editing
6,Polar Bears,Maritime Animals,http://arcticdiscovery.com/arctic-mammals/marine-mammals/seals/,http://www.polarbearsinternational.org/about-polar-bears/essentials,Svetlana,Needs editing
7,Arctic Fox,Land Animals,http://arcticdiscovery.com/arctic-mammals/land-mammals/arctic-fox/,http://animals.nationalgeographic.com/animals/mammals/arctic-fox/,Svetlana,Needs editing
8,Caribou,Land Animals,http://arcticdiscovery.com/arctic-mammals/land-mammals/caribou/,http://en.wikipedia.org/wiki/Reindeer,Svetlana,Needs editing
9,Arctic Wolf,Land Animals,http://arcticdiscovery.com/arctic-mammals/land-mammals/arctic-wolf/,http://a-z-animals.com/animals/arctic-wolf/,Svetlana,Needs editing
10,Snowy Owl,Land Animals,http://arcticdiscovery.com/arctic-mammals/land-mammals/snowy-owl/,http://animals.nationalgeographic.com/animals/birds/snowy-owl/,Svetlana,Needs editing
11,climate change,Environmental Challenges,http://arcticdiscovery.com/environmental-challenges/climate-change/,http://polardiscovery.whoi.edu/arctic/ecosystem.html,Svetlana,Needs editing
12,marine traffic,Environmental Challenges,http://arcticdiscovery.com/environmental-challenges/marine-traffic/,http://oceansnorth.org/future-marine-mammals-changing-arctic,Svetlana,Needs editing
13,oil and gas development,Environmental Challenges,http://arcticdiscovery.com/environmental-challenges/oil-gas-development/,http://oceansnorth.org/future-marine-mammals-changing-arctic,Svetlana,Needs editing
14,commercial fishing,Environmental Challenges,http://arcticdiscovery.com/environmental-challenges/commercial-fishing/,http://oceansnorth.org/future-marine-mammals-changing-arctic,Svetlana,Needs editing
15,Future of Arctic mammals,Survival or Extinction?,http://arcticdiscovery.com/survival-extinction/future/,http://oceansnorth.org/future-marine-mammals-changing-arctic,Svetlana,Needs editing
16,Endangered Arctic Wildlife,Survival or Extinction?,http://arcticdiscovery.com/survival-extinction/endangered/,http://endangeredspecies.about.com/od/speciesatrisk/tp/Endangered-Arctic-Wildlife.htm,Svetlana,Needs editing
